value_date,narration,utr_extracted,credit,debit,balance
2026-01-01,NEFT CR UNKNOWN ORPHAN00000,,80.32,0.00,
2026-01-02,NEFT CR UNKNOWN ORPHAN00001,,513.96,0.00,
2026-01-02,NEFT CR UTR202601020001 SETTLEMENT,UTR202601020001,380403.22,0.00,
2026-01-03,NEFT CR UNKNOWN ORPHAN00002,,95.61,0.00,
2026-01-03,NEFT CR UTR202601030001 SETTLEMENT,UTR202601030001,621486.85,0.00,
2026-01-04,NEFT CR UNKNOWN ORPHAN00003,,915.44,0.00,
2026-01-04,NEFT CR UTR202601040001 SETTLEMENT,UTR202601040001,802240.92,0.00,
2026-01-05,NEFT CR UNKNOWN ORPHAN00004,,1086.90,0.00,
2026-01-05,NEFT CR UTR202601050001 SETTLEMENT,UTR202601050001,815259.31,0.00,
2026-01-06,NEFT CR UNKNOWN ORPHAN00005,,1321.55,0.00,
2026-01-06,NEFT CR UTR202601060001 SETTLEMENT,UTR202601060001,869901.34,0.00,
2026-01-07,NEFT CR UNKNOWN ORPHAN00006,,1194.63,0.00,
2026-01-07,NEFT CR UTR202601070001 SETTLEMENT,UTR202601070001,791747.36,0.00,
2026-01-08,NEFT CR UNKNOWN ORPHAN00007,,159.37,0.00,
2026-01-08,NEFT CR UTR202601080001 SETTLEMENT,UTR202601080001,794654.36,0.00,
2026-01-09,NEFT CR UNKNOWN ORPHAN00008,,1512.42,0.00,
2026-01-09,NEFT CR UTR202601090001 SETTLEMENT,UTR202601090001,713925.12,0.00,
2026-01-10,NEFT CR UNKNOWN ORPHAN00009,,805.51,0.00,
2026-01-10,NEFT CR UTR202601100001 SETTLEMENT,UTR202601100001,819286.95,0.00,
2026-01-11,NEFT CR UNKNOWN ORPHAN00010,,203.23,0.00,
2026-01-11,NEFT CR UTR202601110001 SETTLEMENT,UTR202601100001,831345.04,0.00,
2026-01-12,NEFT CR UNKNOWN ORPHAN00011,,349.65,0.00,
2026-01-12,NEFT CR UTR202601120001 SETTLEMENT,UTR202601120001,859190.98,0.00,
2026-01-13,NEFT CR UNKNOWN ORPHAN00012,,674.92,0.00,
2026-01-13,NEFT CR UTR202601130001 SETTLEMENT,UTR202601130001,710172.09,0.00,
2026-01-14,NEFT CR UNKNOWN ORPHAN00013,,1841.46,0.00,
2026-01-14,NEFT CR UTR202601140001 SETTLEMENT,UTR202601140001,959517.78,0.00,
2026-01-15,NEFT CR UNKNOWN ORPHAN00014,,1011.35,0.00,
2026-01-15,NEFT CR UTR202601150001 SETTLEMENT,UTR202601150001,983798.83,0.00,
2026-01-16,NEFT CR UNKNOWN ORPHAN00015,,22.61,0.00,
2026-01-16,NEFT CR UTR202601160001 SETTLEMENT,UTR202601160001,987696.38,0.00,
2026-01-17,NEFT CR UNKNOWN ORPHAN00016,,874.96,0.00,
2026-01-17,NEFT CR UTR202601170001 SETTLEMENT,UTR202601170001,933486.86,0.00,
2026-01-18,NEFT CR UNKNOWN ORPHAN00017,,254.37,0.00,
2026-01-18,NEFT CR UTR202601180001 SETTLEMENT,UTR202601180001,856641.54,0.00,
2026-01-19,NEFT CR UNKNOWN ORPHAN00018,,1038.02,0.00,
2026-01-19,NEFT CR UTR202601190001 SETTLEMENT,UTR202601190001,873499.96,0.00,
2026-01-20,NEFT CR UNKNOWN ORPHAN00019,,674.19,0.00,
2026-01-20,NEFT CR UTR202601200001 SETTLEMENT,UTR202601190001,944799.25,0.00,
2026-01-21,NEFT CR UNKNOWN ORPHAN00020,,1427.85,0.00,
2026-01-21,NEFT CR UTR202601210001 SETTLEMENT,UTR202601210001,843340.92,0.00,
2026-01-22,NEFT CR UNKNOWN ORPHAN00021,,617.80,0.00,
2026-01-22,NEFT CR UTR202601220001 SETTLEMENT,UTR202601220001,903989.12,0.00,
2026-01-23,NEFT CR UNKNOWN ORPHAN00022,,1673.54,0.00,
