settlement_id,payment_id,order_ref,line_type,gross,fee,tax,net,instrument,settled_on,utr
STL0000000,pay0000000000,ORD0000000,payment,6709.87,134.20,24.16,6551.51,card_debit,2026-01-06,UTR202601060001
STL0000001,pay0000000001,ORD0000001,payment,7727.46,154.55,27.82,7545.09,upi,2026-01-06,UTR202601060001
STL0000002,pay0000000002,ORD0000002,payment,5304.03,106.08,19.09,5178.86,wallet,2026-01-21,UTR202601210001
STL0000003,pay0000000003,ORD0000003,payment,4715.29,94.31,16.98,4604.00,card_debit,2026-01-20,UTR202601200001
STL0000005,pay0000000005,ORD0000005,payment,8891.62,177.83,32.01,8681.78,netbanking,2026-01-13,UTR202601130001
STL0000006,pay0000000006,ORD0000006,payment,9675.96,193.52,34.83,9447.61,wallet,2026-01-15,UTR202601150001
STL0000007,pay0000000007,ORD0000007,payment,3797.01,75.94,13.67,3707.40,upi,2026-01-20,UTR202601200001
STL0000008,pay0000000008,ORD0000008,payment,8111.20,162.22,29.20,7919.78,upi,2026-01-11,UTR202601110001
STL0000009,pay0000000009,ORD0000009,payment,4759.35,95.19,17.13,4647.03,card_credit,2026-01-23,UTR202601230001
STL0000010,pay000000000a,ORD0000010,payment,2804.46,56.09,10.10,2738.27,card_debit,2026-01-26,UTR202601260001
STL0000011,pay000000000b,ORD0000011,payment,2572.02,51.44,9.26,2511.32,wallet,2026-01-08,UTR202601080001
STL0000012,pay000000000c,ORD0000012,payment,3405.35,68.11,12.26,3324.98,card_credit,2026-01-28,UTR202601280001
STL0000013,pay000000000d,ORD0000013,payment,699.03,13.98,2.52,682.53,netbanking,2026-01-10,UTR202601100001
STL0000014,pay000000000e,ORD0000014,payment,9594.72,191.89,34.54,9368.29,card_debit,2026-01-23,UTR202601230001
STL0000015,pay000000000f,ORD0000015,payment,5891.37,117.83,21.21,5752.33,netbanking,2026-01-21,UTR202601210001
STL0000016,pay0000000010,ORD0000016,payment,4193.01,83.86,15.09,4094.06,netbanking,2026-01-15,
STL0000017,pay0000000011,ORD0000017,payment,1154.75,23.10,4.16,1127.49,netbanking,2026-01-08,UTR202601080001
STL0000018,pay0000000012,ORD0000018,payment,4039.57,80.79,14.54,3944.24,wallet,2026-01-15,UTR202601150001
STL0000019,pay0000000013,ORD0000019,payment,125.38,2.51,0.45,122.42,card_credit,2026-01-25,UTR202601250001
STL0000020,pay0000000014,ORD0000020,payment,3571.99,71.44,12.86,3487.69,netbanking,2026-01-05,UTR202601050001
STL0000020X,,,refund,-476.64,0.00,0.00,-476.64,netbanking,2026-01-05,UTR202601050001
STL0000021,pay0000000015,ORD0000021,payment,2766.83,55.34,9.96,2701.53,card_credit,2026-01-18,UTR202601180001
STL0000022,pay0000000016,ORD0000022,payment,5328.23,106.56,19.18,5202.49,card_debit,2026-01-22,UTR202601220001
