order_id,invoice_no,customer_ref,gross,currency,payment_id,order_status,created_at
ORD0000000,INV0000000,cust_0000,6709.87,INR,pay0000000000,paid,2026-01-04T06:47:00Z
ORD0000001,INV0000001,cust_0001,7727.46,INR,pay0000000001,paid,2026-01-04T08:37:00Z
ORD0000002,INV0000002,cust_0002,5304.03,INR,pay0000000002,paid,2026-01-20T06:35:00Z
ORD0000003,INV0000003,cust_0003,4715.29,INR,pay0000000003,paid,2026-01-19T14:51:00Z
ORD0000004,INV0000004,cust_0004,3572.78,INR,pay0000000004,paid,2026-01-09T10:13:00Z
ORD0000005,INV0000005,cust_0005,8891.62,INR,pay0000000005,paid,2026-01-12T14:51:00Z
ORD0000006,INV0000006,cust_0006,9675.96,INR,pay0000000006,paid,2026-01-13T08:35:00Z
ORD0000007,INV0000007,cust_0007,3797.01,INR,pay0000000007,paid,2026-01-19T12:45:00Z
ORD0000008,INV0000008,cust_0008,8111.20,INR,pay0000000008,paid,2026-01-10T08:54:00Z
ORD0000009,INV0000009,cust_0009,4759.35,INR,pay0000000009,paid,2026-01-21T17:10:00Z
ORD0000010,INV0000010,cust_0010,2804.46,INR,pay000000000a,paid,2026-01-23T08:38:00Z
ORD0000011,INV0000011,cust_0011,2572.02,INR,pay000000000b,paid,2026-01-06T20:24:00Z
ORD0000012,INV0000012,cust_0012,3405.35,INR,pay000000000c,paid,2026-01-27T07:14:00Z
ORD0000013,INV0000013,cust_0013,699.03,INR,pay000000000d,paid,2026-01-07T16:13:00Z
ORD0000014,INV0000014,cust_0014,9594.72,INR,pay000000000e,paid,2026-01-21T20:09:00Z
ORD0000015,INV0000015,cust_0015,5891.37,INR,pay000000000f,paid,2026-01-18T14:47:00Z
ORD0000016,INV0000016,cust_0016,4193.01,INR,pay0000000010,paid,2026-01-12T13:08:00Z
ORD0000017,INV0000017,cust_0017,1154.75,INR,pay0000000011,paid,2026-01-05T11:50:00Z
ORD0000018,INV0000018,cust_0018,4039.57,INR,pay0000000012,paid,2026-01-13T20:33:00Z
ORD0000019,INV0000019,cust_0019,125.38,INR,pay0000000013,paid,2026-01-22T09:43:00Z
ORD0000020,INV0000020,cust_0020,3571.99,INR,pay0000000014,paid,2026-01-04T15:27:00Z
ORD0000021,INV0000021,cust_0021,2766.83,INR,pay0000000015,paid,2026-01-17T11:32:00Z
ORD0000022,INV0000022,cust_0022,5328.23,INR,pay0000000016,paid,2026-01-20T12:09:00Z
ORD0000023,INV0000023,cust_0023,8169.49,INR,pay0000000017,paid,2026-01-17T06:38:00Z
ORD0000024,INV0000024,cust_0024,9219.06,INR,pay0000000018,paid,2026-01-27T15:15:00Z
ORD0000025,INV0000025,cust_0025,9934.48,INR,pay0000000019,paid,2026-01-03T08:46:00Z
ORD0000026,INV0000026,cust_0026,5590.82,INR,pay000000001a,paid,2026-01-25T10:08:00Z
ORD0000027,INV0000027,cust_0027,1736.48,INR,pay000000001b,paid,2026-01-09T22:55:00Z
ORD0000028,INV0000028,cust_0028,9745.36,INR,pay000000001c,paid,2026-01-18T12:45:00Z
ORD0000029,INV0000029,cust_0029,6819.46,INR,pay000000001d,paid,2026-01-12T20:57:00Z
ORD0000030,INV0000030,cust_0030,2361.12,INR,pay000000001e,paid,2026-01-03T16:01:00Z
ORD0000031,INV0000031,cust_0031,2314.14,INR,pay000000001f,paid,2026-01-01T08:45:00Z
ORD0000032,INV0000032,cust_0032,9499.01,INR,pay0000000020,paid,2026-01-02T16:04:00Z
ORD0000033,INV0000033,cust_0033,5094.93,INR,pay0000000021,paid,2026-01-07T10:46:00Z
ORD0000034,INV0000034,cust_0034,8232.33,INR,pay0000000022,paid,2026-01-16T19:12:00Z
ORD0000035,INV0000035,cust_0035,3720.07,INR,pay0000000023,paid,2026-01-14T19:29:00Z
ORD0000036,INV0000036,cust_0036,6780.68,INR,pay0000000024,paid,2026-01-04T07:25:00Z
ORD0000037,INV0000037,cust_0037,1150.76,INR,pay0000000025,paid,2026-01-08T12:12:00Z
ORD0000038,INV0000038,cust_0038,1929.01,INR,pay0000000026,paid,2026-01-09T20:15:00Z
ORD0000039,INV0000039,cust_0039,8980.46,INR,pay0000000027,paid,2026-01-18T09:03:00Z
ORD0000040,INV0000040,cust_0040,982.93,INR,pay0000000028,paid,2026-01-25T13:10:00Z
ORD0000041,INV0000041,cust_0041,9071.51,INR,pay0000000029,paid,2026-01-13T07:10:00Z
ORD0000042,INV0000042,cust_0042,2785.85,INR,pay000000002a,paid,2026-01-26T20:18:00Z
ORD0000043,INV0000043,cust_0043,5108.11,INR,pay000000002b,paid,2026-01-05T12:18:00Z
